synthetic_id,model_spec_version,global_synthetic_number,anchor_index,variant_number,variant_type,is_exact_anchor_fit,anchor_recording_uid,anchor_recording_id,tissue,source_neighbour_recording_uid,interpolation_fraction,random_seed,residual_noise_added,n_time_points,duration_days,fit_start_day_original,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,reference_window_start_day_original,reference_window_end_day_original,reference_window_n_points,profiled_initial_phase_radians,transition_duration_days,acute_transient_shape,acute_transient_sigma_hours,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,fit_phase_shift_hours,derived_pre_envelope_final_fraction,derived_post_envelope_final_fraction,pre_period_status,pre_period_reason,post_period_status,post_period_reason,pre_amplitude_envelope_status,pre_amplitude_envelope_reason,post_amplitude_envelope_status,post_amplitude_envelope_reason,phase_shift_status,phase_shift_reason,variant_pre_envelope_median,variant_pre_envelope_p10,variant_pre_median_envelope_to_anchor_residual,variant_pre_observable_fraction,variant_post_envelope_median,variant_post_envelope_p10,variant_post_median_envelope_to_anchor_residual,variant_post_observable_fraction,variant_transition_envelope_to_anchor_residual,variant_acute_transient_to_transition_envelope
SYN_A002_1C-SCN_V000,msc_x10_causal_angle_halfgaussian_v1,11,2,0,anchor_exact_fit,True,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250625 to 250728::1C-SCN_Raw.csv,0.0,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9783209606251375,1.0521000707830233,24.280517506096064,25.541174853060205,-0.3705367463215727,-0.4989164448748203,0.3643970734691665,-0.5113842595702649,0.0386407055199998,1.7239838663551197,-2.0787791784307377,0.07976617228475875,0.043475720157422446,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5621256623782123,0.20542879206800504,3.090143774063435,0.9469387755102041,0.21597762187590216,0.0625648409569185,2.5232758045474877,0.7991169977924945,0.9815559710900618,9.65524729734972
SYN_A002_1C-SCN_V001,msc_x10_causal_angle_halfgaussian_v1,12,2,1,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250625 to 250728::7B-SCNcm2_Raw.csv,0.11666666666666667,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9448170957759512,1.128388939161915,24.24259924880199,25.681945380511994,-0.3676782392092411,-0.6030981916462704,0.33242932603653713,-0.6217199128515327,0.03289015590579285,1.6481767779766305,-2.541223290929333,0.08133747299060366,0.022588682273557877,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5579960258740717,0.20550934679149402,3.067442140982985,0.9469387755102041,0.16782499553986913,0.03722041102563468,1.9607066091660237,0.6799116997792495,0.9894883250648769,9.156687447859191
SYN_A002_1C-SCN_V002,msc_x10_causal_angle_halfgaussian_v1,13,2,2,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250625 to 250728::7A-SCNmm2_Raw.csv,0.03888888888888889,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9828030887424781,1.0876102494699298,24.27649951976478,25.552604668852137,-0.3768342821973104,-0.5216194306436188,0.3561179453929159,-0.5202874936862436,0.03904934325163547,1.7346230203120256,-2.115917323832718,0.0764107354614149,0.03769474152878746,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5514786933047006,0.19811920241969924,3.031614752178962,0.9326530612244898,0.20774656249922852,0.05688142676509624,2.4271119853954826,0.7748344370860927,0.9494309192742213,10.043544510442192
SYN_A002_1C-SCN_V003,msc_x10_causal_angle_halfgaussian_v1,14,2,3,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250728::7A-SCNcM1_Raw.csv,0.35,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9615159435923168,0.8874660536088227,24.302854116765264,25.483491543342197,-0.3563539772904993,-0.3711918359101829,0.503624635609189,-0.5670021336517079,0.026841359832077874,0.7267436125401814,-2.299660661203111,0.08787251316019921,0.09701995393728631,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5848507274492765,0.22212952664770316,3.2150690764369934,0.9816326530612245,0.27183477537149553,0.1086965285339116,3.1758573206422884,1.0,1.0489822658880699,3.8085385085796823
SYN_A002_1C-SCN_V004,msc_x10_causal_angle_halfgaussian_v1,15,2,4,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250811::1A-1FSCN_Raw.csv,0.3111111111111111,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9369306411209917,0.9954028324880073,24.277234413299887,25.425270228698103,-0.38176029429518693,-0.4757275443955305,0.38923817894102486,-0.37401671114090096,0.06389450287774226,0.8917387993285159,-1.5134801037843284,0.07388476086910371,0.05029665065590665,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5297834833911886,0.18779514262102828,2.9123508182791946,0.9122448979591836,0.21849509933243147,0.06749040938710575,2.5526876014706152,0.8189845474613686,0.8947661080911987,5.478648166859948
SYN_A002_1C-SCN_V005,msc_x10_causal_angle_halfgaussian_v1,16,2,5,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250625 to 250728::6C-SCNmm1_Raw.csv,0.15555555555555556,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.8862612300958403,1.0841227810343008,24.22363618181581,25.335540734516904,-0.367820543107057,-0.5519448101046599,0.22715940059740147,-0.5974120436197712,0.0413459193910006,1.6170860971822423,-2.4089305704742747,0.08125852246239412,0.031153728475153856,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5409340418629773,0.1991484317349607,2.9736481956185425,0.9346938775510204,0.18807975727729387,0.04776096212034891,2.1973438578541504,0.7306843267108167,0.9581164858942458,9.278122541531395
SYN_A002_1C-SCN_V006,msc_x10_causal_angle_halfgaussian_v1,17,2,6,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250625 to 250728::7A-SCNmm2_Raw.csv,0.23333333333333334,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,2.005213729329182,1.2651611429044625,24.256409588108358,25.609753747811798,-0.4083219615759989,-0.6351343594876118,0.314722305011663,-0.5648036642661363,0.04109253190981381,1.7878187900965556,-2.3020939301582333,0.06163572631024154,0.01846931103272386,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5011552557046286,0.16527980007273274,2.7549743712160604,0.8653061224489796,0.16855849627667158,0.03481469634746821,1.969276129682621,0.673289183222958,0.8082210043142867,12.160141775749224
SYN_A002_1C-SCN_V007,msc_x10_causal_angle_halfgaussian_v1,18,2,7,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250625 to 250728::6C-SCNmm1_Raw.csv,0.07777777777777778,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.932291095360489,1.0681114259086621,24.252076843955937,25.438357793788555,-0.36917864471431483,-0.5254306274897401,0.295778237033284,-0.5543981515950183,0.0399933124555002,1.670534981768681,-2.244558747037764,0.08050888958581075,0.03680259204249222,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5515845840499796,0.20232165024401416,3.032196859791467,0.9408163265306122,0.20156921569106998,0.05467017975607972,2.354941778121503,0.7637969094922737,0.9699915439787523,9.46744737944611
SYN_A002_1C-SCN_V008,msc_x10_causal_angle_halfgaussian_v1,19,2,8,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250728::7A-SCNcM1_Raw.csv,0.27222222222222225,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9652503918218325,0.924051390758645,24.297890425505443,25.496310056612863,-0.3595057037418489,-0.399575082346769,0.47268517735585075,-0.5546426060780538,0.029463436651616076,0.9483525578323898,-2.250664139893346,0.08600270140172339,0.08116919226570382,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5797262489214476,0.21830601304188524,3.186898550737995,0.9734693877551021,0.2585580193373469,0.09638928957647462,3.020744411384049,0.9470198675496688,1.0334022414012274,5.044820225372189
SYN_A002_1C-SCN_V009,msc_x10_causal_angle_halfgaussian_v1,20,2,9,local_same_tissue_variant,False,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,250811::1A-1FSCN_Raw.csv,0.19444444444444445,123,False,943,13.10903,0.89583,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.1058101550726635,0.2,causal_half_gaussian,3.0,1.9524520109350463,1.0166642968486383,24.278465573098455,25.468734462833893,-0.3775514638050816,-0.4844233820752642,0.37992276438907796,-0.42552954180191227,0.054424328868588834,1.2038306994634924,-1.7248733526704048,0.07603767466844927,0.0476216523479243,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.5417162095738943,0.19423321845344346,2.977947964947588,0.9244897959183673,0.21706140752197078,0.06562314664052649,2.5359377186582566,0.8123620309050773,0.9264335829252218,7.1432590225924155
SYN_A003_1D-L2m2_V000,msc_x10_causal_angle_halfgaussian_v1,21,3,0,anchor_exact_fit,True,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250625 to 250728::1D-L2m2_Raw.csv,0.0,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.7052810363822255,2.005206886939565,29.997202650807186,25.30036900234005,-0.8562372925960673,-0.4029704772569354,-1.3819993992378976,0.7257000451575228,0.0460290453923051,-2.556215919419509,2.922160978846233,0.002999425330963304,0.07945546263912419,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.09535857753707139,0.009493050646607028,0.2671186489600888,0.2716049382716049,0.5488590223601457,0.20177044027348467,1.4971166700218352,0.6622516556291391,0.17785107484880464,39.204496392481396
SYN_A003_1D-L2m2_V001,msc_x10_causal_angle_halfgaussian_v1,22,3,1,local_same_tissue_variant,False,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250625 to 250728::6A-T7_Raw.csv,0.03888888888888889,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.68807933570998,1.9833905082102337,29.815118853686087,25.29792984492765,-0.8403098849158643,-0.40184985977264437,-1.2676260223499956,0.819748339307905,0.041084350082521995,-2.4817919043127583,3.300545020470872,0.0033417138196597785,0.08001702455910548,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.09959874533280906,0.010349941050588764,0.27899621595212165,0.2757201646090535,0.544847113295199,0.20085376179094122,1.4861734301459273,0.6578366445916115,0.1774589335701663,38.147170870798185
SYN_A003_1D-L2m2_V002,msc_x10_causal_angle_halfgaussian_v1,23,3,2,local_same_tissue_variant,False,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250625 to 250728::7D-L2_Raw.csv,0.07777777777777778,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.6548676846915051,2.014498251692865,29.995740781463144,25.282183058393848,-0.8414803834276604,-0.39075589664460286,-1.0568776415769106,0.8557977270861468,0.05781783921886052,-2.2282285310561742,3.4435455488518074,0.003315280662740965,0.08579510267134985,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.09725505567739587,0.010074569530329636,0.27243106753542756,0.2716049382716049,0.5734884352689107,0.21731753970861917,1.5642980465436336,0.6843267108167771,0.17963710162503793,33.8344039428716
SYN_A003_1D-L2m2_V003,msc_x10_causal_angle_halfgaussian_v1,24,3,3,local_same_tissue_variant,False,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250625 to 250728::8A-L3_Raw.csv,0.27222222222222225,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.5713481865627972,1.8229078632450504,29.996759669891222,24.868385693492474,-0.8094476219972352,-0.3701101207966447,-0.8182870403164086,0.9134740239491137,0.032900645686888684,-1.775231088611699,3.615463055433939,0.004120093106729934,0.09768177000264201,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.10286699757383738,0.011616480156351566,0.2881512510379258,0.2716049382716049,0.554564107612799,0.22120160429263305,1.5126783678124902,0.6799116997792495,0.16660965870964667,29.063610091366378
SYN_A003_1D-L2m2_V004,msc_x10_causal_angle_halfgaussian_v1,25,3,4,local_same_tissue_variant,False,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250811::4A-2MT10_Raw.csv,0.23333333333333334,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.5178601299889052,2.198035301614093,29.380164412604902,25.14302496687951,-0.7370216483922111,-0.4232267651651204,-0.5712413098858253,0.4761343849271311,0.05419086505246932,-2.482929732150356,1.9053168325520002,0.006734651578717525,0.06995774712344578,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.12681594215096764,0.017407001046609853,0.35523708520922637,0.29218106995884774,0.5637036996709136,0.19706127573286333,1.5376083317375875,0.6644591611479028,0.20708622754580933,32.704540432704334
SYN_A003_1D-L2m2_V005,msc_x10_causal_angle_halfgaussian_v1,26,3,5,local_same_tissue_variant,False,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250625 to 250728::4D-T7m1_Raw.csv,0.3111111111111111,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.5042648878118252,2.1290122948936494,29.982238733604657,25.013778083851477,-0.7238133307755372,-0.42072472677842243,-0.5891994239315159,1.0682925909391194,0.08659027732343476,-1.3636717730313506,4.252943768479895,0.00736604464040235,0.07106650085809574,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.13139729251186344,0.018689283954636357,0.36807037352395144,0.2962962962962963,0.5504123606515561,0.19361411780963791,1.5013536936572558,0.6556291390728477,0.20371147553312202,18.25951319806759
SYN_A003_1D-L2m2_V006,msc_x10_causal_angle_halfgaussian_v1,27,3,6,local_same_tissue_variant,False,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,250625 to 250728::7D-L2_Raw.csv,0.35,123,False,939,13.06945,0.93194,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,0.2,causal_half_gaussian,3.0,1.4784209537739834,2.047018028329414,29.990624238759,25.21853225458214,-0.7898312013382364,-0.3480048645014391,0.08104851023654436,1.3111396138363318,0.09907861761180448,-1.0802726717845037,5.262460841956964,0.004706609424937573,0.1122401090001471,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,0.10339390567662929,0.01230972144272444,0.2896272271292133,0.2674897119341564,0.6653906185622243,0.28174286449410024,1.8149786129815857,0.7770419426048565,0.18634573228270376,15.812799969228474
