plan_id,rescue_experiment,method,scenario_family,target_status,primary_metric_name,primary_metric_unit,n_anchors_total,n_anchors_valid,bootstrap_replicates,bootstrap_seed,error_A_point_estimate,error_A_ci_lower_95,error_A_ci_upper_95,error_B_point_estimate,error_B_ci_lower_95,error_B_ci_upper_95,error_C_point_estimate,error_C_ci_lower_95,error_C_ci_upper_95,delta_add_point_estimate,delta_add_ci_lower_95,delta_add_ci_upper_95,delta_rescue_point_estimate,delta_rescue_ci_lower_95,delta_rescue_ci_upper_95,delta_remaining_point_estimate,delta_remaining_ci_lower_95,delta_remaining_ci_upper_95,mechanism_conclusion,rescue_fraction_of_median_degradation
ART_CWT_PYBOAT_POST_AMPLITUDE,artifact,CWT_pyBOAT,post_amplitude_trajectory,eligible,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,2000,3563441307,0.08862162381292957,0.058476329481034345,0.1131965598465723,0.09246596482470743,0.06852412171916603,0.11637538866028757,0.08615408826938603,0.057351551801901435,0.10719059238626763,0.0031590775968557503,0.00018609377581688125,0.009439762496257453,0.004968570937212912,0.00043216876170115714,0.009605350920779143,-0.001652627079561278,-0.002659842959277736,-0.0007191561162451745,overcorrection_beyond_clean,1.5727916725306657
ART_CWT_PYBOAT_POST_AMPLITUDE,artifact,CWT_pyBOAT,post_amplitude_trajectory,ineligible,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,0,3989020770,1.532618559212259,,,1.5332161935757647,,,1.5325325653977462,,,0.00022153995164131413,,,0.001356225323369098,,,-0.00014494208104087747,,,not_estimable,6.121809241724962
ART_CWT_PYBOAT_PRE_AMPLITUDE,artifact,CWT_pyBOAT,pre_amplitude_trajectory,difficult,target_segment_calibrated_absolute_nrmse,NRMSE,11,11,2000,3239331149,0.35165850642747576,0.2545681019758069,0.9680182650622244,0.35743923917697995,0.2517681511956492,0.9490372141182861,0.34538528600971047,0.25421408870054557,0.9624016435594763,0.0011945665467275879,-0.0013396812744601583,0.00730079354864252,0.0014961567646641638,-0.00198388633702401,0.0070230344036805725,-0.0003540132752613834,-0.003244294814714027,4.6098035229244494e-05,no_confirmed_degradation,1.2524683273299058
ART_CWT_PYBOAT_PRE_AMPLITUDE,artifact,CWT_pyBOAT,pre_amplitude_trajectory,eligible,target_segment_calibrated_absolute_nrmse,NRMSE,41,41,2000,2810674876,0.13742012200198145,0.12348233950054785,0.15325303415743963,0.14720236716507873,0.13099547381885346,0.16896211177296683,0.13733613777493464,0.12256810567825449,0.15348986824048982,0.004612286323447956,0.002302410766931162,0.008950383425707802,0.005866143403540643,0.0025481154456017258,0.008056993032218115,-0.00038803267560317406,-0.0006316779520274263,-0.0002066062399889712,overcorrection_beyond_clean,1.271851527022146
ART_CWT_PYBOAT_PRE_AMPLITUDE,artifact,CWT_pyBOAT,pre_amplitude_trajectory,ineligible,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,0,281017934,0.2512943208178909,,,0.2812997974313774,,,0.2510592345844795,,,0.011309445282578753,,,0.010976750514718636,,,-0.0001625634100846235,,,not_estimable,0.9705825741628012
ART_HILBERT_POST_AMPLITUDE,artifact,Hilbert,post_amplitude_trajectory,difficult,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,2000,2564313972,0.4501467015474815,0.23309117923542227,0.5940041447966183,0.45084574134301075,0.23491992582347487,0.5961734904194851,0.45027335534347107,0.23131650603289086,0.5931505984536469,0.0003697170140518069,-0.0005705997106482674,0.002839616917888874,0.0006096296176424515,-0.00031643361768124434,0.005540108396778175,-0.00012823792263381983,-0.001072729931226743,-1.5015443955102015e-05,no_confirmed_degradation,1.6489087449922621
ART_HILBERT_POST_AMPLITUDE,artifact,Hilbert,post_amplitude_trajectory,eligible,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,2000,1628658575,0.11415247174094842,0.0993720694428872,0.1290847350276078,0.12115134434550531,0.10594322431539116,0.13245051238907266,0.11077078359653025,0.09906803297610303,0.12536259349236112,0.003321265643711553,0.00036542148492210713,0.007017080523748224,0.003297435814772723,0.0004456899700905903,0.00838914907927139,-0.0007258526355208399,-0.001579617310410543,-0.00037562846000793043,overcorrection_beyond_clean,0.9928250758911894
ART_HILBERT_POST_AMPLITUDE,artifact,Hilbert,post_amplitude_trajectory,ineligible,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,0,2397930218,0.49236434875238355,,,0.4880855291147873,,,0.4828781222953055,,,0.000978612697078135,,,0.001106200371964905,,,-0.00014581308505806634,,,not_estimable,1.1303760673325731
ART_HILBERT_PRE_AMPLITUDE,artifact,Hilbert,pre_amplitude_trajectory,difficult,target_segment_calibrated_absolute_nrmse,NRMSE,11,11,2000,182046359,0.42888785300820653,0.23919657914431808,0.6720825022354491,0.42797353173414565,0.232272421437868,0.6468845339145513,0.428816039812198,0.23858656835804162,0.6615157486568917,-0.00018929446100762748,-0.009213893014394098,0.006264216474281797,0.0016395840532671124,-0.00034170574495069606,0.009838019200974518,-0.0013576119516863078,-0.003823100492435505,-0.0003545500201156959,no_confirmed_degradation,-8.661553246405063
ART_HILBERT_PRE_AMPLITUDE,artifact,Hilbert,pre_amplitude_trajectory,eligible,target_segment_calibrated_absolute_nrmse,NRMSE,41,41,2000,2172106469,0.1977180889340599,0.18149705809902617,0.21224904846011516,0.2139989411705987,0.1982520655113335,0.2372807495639177,0.19806008780580514,0.17980982266170453,0.209629393682694,0.010006390080180158,0.00525328871722551,0.017064792534030003,0.010760973777533822,0.0053916018798012555,0.018062339860029322,-0.0008467099339372064,-0.0016782101159717178,-0.00048788191104691403,overcorrection_beyond_clean,1.0754101820244129
ART_HILBERT_PRE_AMPLITUDE,artifact,Hilbert,pre_amplitude_trajectory,ineligible,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,0,216841359,0.260002183661168,,,0.27800091946980177,,,0.2536415073725409,,,-0.006900898904176916,,,-0.0019970084656532605,,,-0.000716278010545357,,,not_estimable,0.28938381700455407
ART_HILBERT_PRE_PERIOD,artifact,Hilbert,pre_period_hours,difficult,absolute_error_hours,hours,10,10,2000,3661885186,0.22817121730024414,0.08450198814366772,0.24723642811422408,0.20693943890001876,0.1797449950353282,0.27689431623283145,0.20745098567324316,0.08707558825103501,0.24637973307109462,0.05825645644196964,0.036515039422624795,0.11429118797882865,0.06599323933651835,0.04346395301161721,0.10728474194535664,0.008477115553744419,-0.00012056385970993233,0.023215060672197474,full_rescue,1.1328055870039995
ART_HILBERT_PRE_PERIOD,artifact,Hilbert,pre_period_hours,eligible,absolute_error_hours,hours,42,42,2000,431873163,0.032663394197050444,0.021539727415527565,0.04564890334792793,0.06631193502973343,0.05379647909938967,0.08691999061602651,0.034225204017166,0.025904882287600905,0.04730209783189476,0.035348013251535804,0.02733527373477518,0.049617042909878784,0.03141074394318366,0.02306593283747027,0.04536328653725885,0.0018081758126937686,0.0005153804946873564,0.002786418006075342,partial_rescue,0.8886141271834825
ART_HILBERT_PRE_PERIOD,artifact,Hilbert,pre_period_hours,ineligible,absolute_error_hours,hours,1,1,0,3050807010,0.21366228438719226,,,0.2818190876741635,,,0.20400766153161065,,,0.0679918107276265,,,0.07960209140124164,,,-0.0007634468601622757,,,not_estimable,1.1707599863772657
ART_STFT_POST_AMPLITUDE,artifact,STFT,post_amplitude_trajectory,difficult,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,2000,2061099854,0.4653715812775822,0.17244582015975485,0.6586862235691452,0.47215955402077014,0.16531097055581656,0.6638807842806416,0.46309420035939103,0.16330009269432216,0.6341204944021388,-3.499379885334164e-05,-0.0012938920132016668,0.009143780194846875,0.00016399327960145427,-0.0006500266937830221,0.009839159879769794,-0.0011932573708586525,-0.00203940549827758,-0.0003345879772657656,no_confirmed_degradation,-4.686352581745899
ART_STFT_POST_AMPLITUDE,artifact,STFT,post_amplitude_trajectory,eligible,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,2000,237198106,0.050580665249367496,0.039480613942023055,0.06084642771118743,0.07267051127428883,0.06517451665640694,0.07866516607125765,0.04703062789381231,0.03601074450311279,0.05752279604033489,0.009540087791823325,0.005439967757854028,0.0165638912459875,0.014190467360960066,0.007176757594152608,0.02120697868279462,-0.00223250582538825,-0.0028290782622363867,-0.0015787372803620124,overcorrection_beyond_clean,1.4874566849502702
ART_STFT_POST_AMPLITUDE,artifact,STFT,post_amplitude_trajectory,ineligible,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,0,1151157156,0.4924381182115903,,,0.4935042006279346,,,0.49226751873545094,,,0.00014704226541917276,,,0.0012366818924836598,,,-0.00017059947613934368,,,not_estimable,8.410383837315456
ART_STFT_PRE_AMPLITUDE,artifact,STFT,pre_amplitude_trajectory,difficult,target_segment_calibrated_absolute_nrmse,NRMSE,11,11,2000,2495596652,0.14443697743767275,0.0730871773866453,0.3316434557851994,0.1357666358297619,0.09202906511596415,0.3784762125277975,0.13678081133467612,0.07124242604772124,0.32930887712093304,0.00959284257498215,0.004111718928817162,0.020047394958075546,0.020430768199908585,0.004844095894699835,0.02279058268074289,-0.00102448514187271,-0.0019997581692046684,-0.000719740747107931,overcorrection_beyond_clean,2.129792920108105
ART_STFT_PRE_AMPLITUDE,artifact,STFT,pre_amplitude_trajectory,eligible,target_segment_calibrated_absolute_nrmse,NRMSE,41,41,2000,2833868099,0.050177399494095554,0.042235997672491046,0.05255319212125035,0.1013638084272861,0.08447724571958304,0.1110221148335586,0.0470811001919713,0.04037128115901818,0.051140088637163114,0.040643365555255745,0.033942550854117,0.04925074041405595,0.041792107121904995,0.037228274498496805,0.049483425064178035,-0.002148541373793677,-0.002271487579559972,-0.0018577919193558685,overcorrection_beyond_clean,1.0282639380611212
ART_STFT_PRE_AMPLITUDE,artifact,STFT,pre_amplitude_trajectory,ineligible,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,0,3325862730,0.1154475783489405,,,0.13760240867877627,,,0.10791247979043278,,,0.009004110985627853,,,0.008249599183973,,,-0.0018676035564662644,,,not_estimable,0.9162036315568315
ENV_CWT_PHASE,envelope,CWT_pyBOAT,phase_shift_hours,difficult,circular_absolute_error_radians,radians,11,11,2000,2770662041,0.11819712569396401,0.07668662700706541,0.16643788817832794,0.36981152873293666,0.09233403276617791,1.4589273320123173,0.11819712569396401,0.07668662700706541,0.1664378881783315,0.2259046813404415,0.027836295174587633,1.3383481945839297,0.22590468134044173,0.027836295174587633,1.3383481945839297,0.0,0.0,0.0,full_rescue,1.0000000000000009
ENV_CWT_PHASE,envelope,CWT_pyBOAT,phase_shift_hours,eligible,circular_absolute_error_radians,radians,41,41,2000,2742178969,0.10719239896632105,0.08844898631480702,0.1220199402672244,0.2164458247842067,0.14560811748986446,0.26610878016843964,0.10719239896632105,0.08844898631480702,0.1220199402672244,0.06562331466756177,0.04621813692633836,0.12695540110604142,0.06562331466756177,0.04621813692633836,0.12695540110604142,0.0,0.0,0.0,full_rescue,1.0
ENV_CWT_PHASE,envelope,CWT_pyBOAT,phase_shift_hours,ineligible,circular_absolute_error_radians,radians,1,1,0,1163554835,0.060746659276013304,,,0.9561609217006262,,,0.060746659276013304,,,0.8762934257900412,,,0.8762934257900412,,,0.0,,,not_estimable,1.0
ENV_CWT_POST_PERIOD,envelope,CWT_pyBOAT,post_period_hours,difficult,absolute_error_hours,hours,3,3,2000,860880003,0.043458974037386966,0.01907018347586309,0.18036410997247643,0.0904535835112199,0.04682676343377068,1.7089479269748278,0.04345897403738874,0.019070183475864866,0.18036410997247465,0.04686801458504952,0.023301768073574536,1.527670280522461,0.04686801458504952,0.02330176807357276,1.5276702805224627,0.0,0.0,0.0,full_rescue,1.0
ENV_CWT_POST_PERIOD,envelope,CWT_pyBOAT,post_period_hours,eligible,absolute_error_hours,hours,49,49,2000,2589041178,0.02778599630609513,0.023785993976236597,0.04962853442834714,0.11604960004038745,0.07692767501564113,0.16608870684565247,0.02778599630609513,0.02378599397623482,0.049628534428348914,0.06554096962824474,0.04001934682804276,0.1308788252007922,0.06554096962824474,0.04001934682804276,0.1308788252007922,0.0,0.0,0.0,full_rescue,1.0
ENV_CWT_POST_PERIOD,envelope,CWT_pyBOAT,post_period_hours,ineligible,absolute_error_hours,hours,1,1,0,3497764157,0.02769192842863788,,,1.4541759764616078,,,0.02769192842863788,,,1.4425166248571735,,,1.4425166248571717,,,0.0,,,not_estimable,0.9999999999999988
ENV_CWT_PRE_PERIOD,envelope,CWT_pyBOAT,pre_period_hours,difficult,absolute_error_hours,hours,10,10,2000,3517115104,0.05064235111304427,0.02922829339992994,0.15300347247726975,0.193922212020043,0.08756830595556231,0.32543802203990246,0.05064235111304427,0.02922829339992994,0.15300347247726798,0.12022525213479796,0.024905998524086925,0.18202902625013095,0.12022525213479884,0.024905998524087813,0.18202902625013273,0.0,0.0,0.0,full_rescue,1.0000000000000073
ENV_CWT_PRE_PERIOD,envelope,CWT_pyBOAT,pre_period_hours,eligible,absolute_error_hours,hours,42,42,2000,4091613004,0.018669408216751116,0.016736853805840113,0.020812192196837387,0.05593417829202885,0.04970946893592654,0.06569869148409335,0.018669408216751116,0.016736853805840113,0.020812192196837387,0.03351586119406402,0.01987969432822112,0.04560796925433408,0.03351586119406402,0.019879694328219344,0.0456079692543323,0.0,0.0,0.0,full_rescue,1.0
ENV_CWT_PRE_PERIOD,envelope,CWT_pyBOAT,pre_period_hours,ineligible,absolute_error_hours,hours,1,1,0,2235984343,0.050086358535713416,,,0.06947836613600344,,,0.05008635853571164,,,0.019186843307446466,,,0.019186843307446466,,,0.0,,,not_estimable,1.0
ENV_HILBERT_PHASE,envelope,Hilbert,phase_shift_hours,difficult,circular_absolute_error_radians,radians,11,11,2000,2793848050,0.23949066021344656,0.16617246445955103,0.3374543410536157,0.9583099702970428,0.3498435802962594,1.815542900290175,0.23949066021344656,0.16617246445955103,0.3374543410536157,0.7220948954248776,0.009035968871426547,1.470135110450606,0.7220948954248776,0.009035968871426547,1.4701351104505989,0.0,0.0,0.0,full_rescue,1.0
ENV_HILBERT_PHASE,envelope,Hilbert,phase_shift_hours,eligible,circular_absolute_error_radians,radians,41,41,2000,1762327518,0.2145459701805812,0.1704743223449321,0.27617284312091517,0.2667778064926387,0.19885600518615032,0.3509933615081722,0.21454597018057786,0.17047432234491078,0.2761728431209267,0.03248841022870863,0.017477024642570393,0.10051455170353307,0.03248841022870863,0.01747702464257017,0.10051455170353307,0.0,0.0,0.0,full_rescue,1.0
ENV_HILBERT_PHASE,envelope,Hilbert,phase_shift_hours,ineligible,circular_absolute_error_radians,radians,1,1,0,1934298852,0.3021299844038692,,,0.5837422682448907,,,0.3021299844038694,,,0.2886391222805038,,,0.2886391222805038,,,0.0,,,not_estimable,1.0
ENV_HILBERT_POST_PERIOD,envelope,Hilbert,post_period_hours,difficult,absolute_error_hours,hours,3,3,2000,2251450940,0.16217995621904713,0.05837036804609674,0.3745380396546132,0.24602402541364654,0.07820677649513641,1.910691628431973,0.16217995621904535,0.05837036804609319,0.3745380396546132,0.0847529774484812,0.02458149036010404,1.5361535887773599,0.08475297744921662,0.024581490360107594,1.5361535887773599,0.0,0.0,0.0,full_rescue,1.000000000008677
ENV_HILBERT_POST_PERIOD,envelope,Hilbert,post_period_hours,eligible,absolute_error_hours,hours,49,49,2000,3717521546,0.20193839121440327,0.16536082376012828,0.2409793491340828,0.32121389591700833,0.17658778423694876,0.393322852248696,0.20193839121440327,0.1653608237593147,0.24097934913408103,0.04761229846522497,0.02349095813449864,0.12137676979342515,0.04761229846522497,0.02349095813449864,0.12137676979342515,0.0,0.0,0.0,full_rescue,1.0
ENV_HILBERT_POST_PERIOD,envelope,Hilbert,post_period_hours,ineligible,absolute_error_hours,hours,1,1,0,2954301501,0.07755540938646988,,,1.5045639826324724,,,0.07755540938647343,,,1.430403919751157,,,1.4304039197502778,,,0.0,,,not_estimable,0.9999999999993853
ENV_HILBERT_PRE_PERIOD,envelope,Hilbert,pre_period_hours,difficult,absolute_error_hours,hours,10,10,2000,2090629880,0.22817121730024414,0.08472959981130757,0.24723642811422408,0.14545824099819082,0.0692668420686946,0.29056480234663695,0.22817121729962775,0.08472959981130579,0.24723642811425606,0.012529171946991546,-0.04395856575694079,0.0735484677949998,0.012529171946991546,-0.043958565756881285,0.07354846779500157,0.0,0.0,0.0,no_confirmed_degradation,1.0
ENV_HILBERT_PRE_PERIOD,envelope,Hilbert,pre_period_hours,eligible,absolute_error_hours,hours,42,42,2000,3735154145,0.032663394197050444,0.021539727415527565,0.04564890334792793,0.07201327067915386,0.05847871450585718,0.09191669914415979,0.032663394197225415,0.02153972741541388,0.04564890334792704,0.03716461692588702,0.019104534554251984,0.06953397013374651,0.037164616925887906,0.019104534554251984,0.06953397013405649,0.0,0.0,0.0,full_rescue,1.000000000000024
ENV_HILBERT_PRE_PERIOD,envelope,Hilbert,pre_period_hours,ineligible,absolute_error_hours,hours,1,1,0,2761305148,0.21366228438719226,,,0.3098418360173216,,,0.21366228438695067,,,0.09936383914295988,,,0.09936383914295988,,,-1.7763568394002505e-15,,,not_estimable,1.0
