synthetic_id,model_spec_version,source_synthetic_id,anchor_index,variant_number,anchor_recording_uid,anchor_recording_id,tissue,scenario_family,scenario_level_number,scenario_level,target_parameters,added_parameter,added_component,target_status,target_status_reason,duration_days,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,profiled_initial_phase_radians,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,fit_phase_shift_hours
SYN_A001_1B-L1m2_V000__pre_amplitude_trajectory__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_amplitude_trajectory,0,S0_target_only,fit_pre_amplitude;fit_pre_envelope_log_rate_per_day,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.4084505459037675,2.0,24.0,24.0,-0.3160018761893767,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__pre_amplitude_trajectory__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_amplitude_trajectory,1,S1_pre_period,fit_pre_amplitude;fit_pre_envelope_log_rate_per_day,fit_pre_period_hours,pre_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.4084505459037675,2.0,24.57107264291958,24.0,-0.3160018761893767,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__pre_amplitude_trajectory__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_amplitude_trajectory,2,S2_linear_drift,fit_pre_amplitude;fit_pre_envelope_log_rate_per_day,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.4084505459037675,2.0,24.0,24.0,-0.3160018761893767,0.0,0.0,0.0,0.1036813873020379,0.0,0.0
SYN_A001_1B-L1m2_V000__post_amplitude_trajectory__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,0,S0_target_only,fit_post_amplitude;fit_post_envelope_log_rate_per_day,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.0,0.0,-0.1684434023495742,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_amplitude_trajectory__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,1,S1_post_period,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_post_period_hours,post_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.87972258368305,0.0,-0.1684434023495742,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_amplitude_trajectory__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,2,S2_linear_drift,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.0,0.0,-0.1684434023495742,0.0,0.0,0.1036813873020379,0.0,0.0
SYN_A001_1B-L1m2_V000__post_amplitude_trajectory__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,3,S3_baseline_step,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_baseline_step,baseline_step,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.0,0.0,-0.1684434023495742,4.670904381578673,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_amplitude_trajectory__S04,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,4,S4_acute_treatment_transient,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_signed_acute_transient_amplitude,acute_treatment_transient,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.0,0.0,-0.1684434023495742,0.0,0.0,0.0,-0.0743412798438336,0.0
SYN_A001_1B-L1m2_V000__phase_shift_hours__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,0,S0_target_only,fit_phase_shift_angle_radians,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,0.0,0.0,0.0,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,1,S1_pre_amplitude,fit_phase_shift_angle_radians,fit_pre_amplitude,pre_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.4084505459037675,2.0,24.0,24.0,0.0,0.0,0.0,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,2,S2_post_amplitude,fit_phase_shift_angle_radians,fit_post_amplitude,post_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.0,0.0,0.0,0.0,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,3,S3_pre_period,fit_phase_shift_angle_radians,fit_pre_period_hours,pre_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.57107264291958,24.0,0.0,0.0,0.0,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S04,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,4,S4_post_period,fit_phase_shift_angle_radians,fit_post_period_hours,post_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.87972258368305,0.0,0.0,0.0,2.027111761301533,0.0,0.0,8.02681694103054
SYN_A001_1B-L1m2_V000__phase_shift_hours__S05,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,5,S5_pre_envelope,fit_phase_shift_angle_radians,fit_pre_envelope_log_rate_per_day,pre_envelope,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,-0.3160018761893767,0.0,0.0,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S06,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,6,S6_post_envelope,fit_phase_shift_angle_radians,fit_post_envelope_log_rate_per_day,post_envelope,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,0.0,-0.1684434023495742,0.0,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S07,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,7,S7_linear_drift,fit_phase_shift_angle_radians,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,0.0,0.0,0.0,2.027111761301533,0.1036813873020379,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S08,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,8,S8_baseline_step,fit_phase_shift_angle_radians,fit_baseline_step,baseline_step,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,0.0,0.0,4.670904381578673,2.027111761301533,0.0,0.0,7.742996568260575
SYN_A001_1B-L1m2_V000__phase_shift_hours__S09,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,9,S9_acute_treatment_transient,fit_phase_shift_angle_radians,fit_signed_acute_transient_amplitude,acute_treatment_transient,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,0.0,0.0,0.0,2.027111761301533,0.0,-0.0743412798438336,7.742996568260575
SYN_A001_1B-L1m2_V001__pre_period_hours__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,0,S0_target_only,fit_pre_period_hours,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.566829259281374,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__pre_period_hours__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,1,S1_pre_amplitude,fit_pre_period_hours,fit_pre_amplitude,pre_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.2558189046134036,2.0,24.566829259281374,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__pre_period_hours__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,2,S2_pre_envelope,fit_pre_period_hours,fit_pre_envelope_log_rate_per_day,pre_envelope,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.566829259281374,24.0,-0.2872956732461449,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__pre_period_hours__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,3,S3_linear_drift,fit_pre_period_hours,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.566829259281374,24.0,0.0,0.0,0.0,0.0,0.1185092590390338,0.0,0.0
SYN_A001_1B-L1m2_V001__post_period_hours__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,0,S0_target_only,fit_post_period_hours,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,25.02649746058964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_period_hours__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,1,S1_post_amplitude,fit_post_period_hours,fit_post_amplitude,post_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,25.02649746058964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_period_hours__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,2,S2_post_envelope,fit_post_period_hours,fit_post_envelope_log_rate_per_day,post_envelope,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,25.02649746058964,0.0,-0.1956105711943346,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_period_hours__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,3,S3_linear_drift,fit_post_period_hours,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,25.02649746058964,0.0,0.0,0.0,0.0,0.1185092590390338,0.0,0.0
SYN_A001_1B-L1m2_V001__post_period_hours__S04,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,4,S4_baseline_step,fit_post_period_hours,fit_baseline_step,baseline_step,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,25.02649746058964,0.0,0.0,4.4259644199510095,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_period_hours__S05,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,5,S5_acute_treatment_transient,fit_post_period_hours,fit_signed_acute_transient_amplitude,acute_treatment_transient,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,25.02649746058964,0.0,0.0,0.0,0.0,0.0,-0.7033150288117362,0.0
SYN_A001_1B-L1m2_V001__pre_amplitude_trajectory__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_amplitude_trajectory,0,S0_target_only,fit_pre_amplitude;fit_pre_envelope_log_rate_per_day,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.2558189046134036,2.0,24.0,24.0,-0.2872956732461449,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__pre_amplitude_trajectory__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_amplitude_trajectory,1,S1_pre_period,fit_pre_amplitude;fit_pre_envelope_log_rate_per_day,fit_pre_period_hours,pre_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.2558189046134036,2.0,24.566829259281374,24.0,-0.2872956732461449,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__pre_amplitude_trajectory__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_amplitude_trajectory,2,S2_linear_drift,fit_pre_amplitude;fit_pre_envelope_log_rate_per_day,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.2558189046134036,2.0,24.0,24.0,-0.2872956732461449,0.0,0.0,0.0,0.1185092590390338,0.0,0.0
SYN_A001_1B-L1m2_V001__post_amplitude_trajectory__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,0,S0_target_only,fit_post_amplitude;fit_post_envelope_log_rate_per_day,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,24.0,0.0,-0.1956105711943346,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_amplitude_trajectory__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,1,S1_post_period,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_post_period_hours,post_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,25.02649746058964,0.0,-0.1956105711943346,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_amplitude_trajectory__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,2,S2_linear_drift,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,24.0,0.0,-0.1956105711943346,0.0,0.0,0.1185092590390338,0.0,0.0
SYN_A001_1B-L1m2_V001__post_amplitude_trajectory__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,3,S3_baseline_step,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_baseline_step,baseline_step,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,24.0,0.0,-0.1956105711943346,4.4259644199510095,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V001__post_amplitude_trajectory__S04,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_amplitude_trajectory,4,S4_acute_treatment_transient,fit_post_amplitude;fit_post_envelope_log_rate_per_day,fit_signed_acute_transient_amplitude,acute_treatment_transient,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,24.0,0.0,-0.1956105711943346,0.0,0.0,0.0,-0.7033150288117362,0.0
SYN_A001_1B-L1m2_V001__phase_shift_hours__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,0,S0_target_only,fit_phase_shift_angle_radians,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.0,0.0,0.0,0.0,2.095561338379053,0.0,0.0,8.00445469332706
SYN_A001_1B-L1m2_V001__phase_shift_hours__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,1,S1_pre_amplitude,fit_phase_shift_angle_radians,fit_pre_amplitude,pre_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.2558189046134036,2.0,24.0,24.0,0.0,0.0,0.0,2.095561338379053,0.0,0.0,8.00445469332706
SYN_A001_1B-L1m2_V001__phase_shift_hours__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,2,S2_post_amplitude,fit_phase_shift_angle_radians,fit_post_amplitude,post_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0903826942318133,24.0,24.0,0.0,0.0,0.0,2.095561338379053,0.0,0.0,8.00445469332706
SYN_A001_1B-L1m2_V001__phase_shift_hours__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,3,S3_pre_period,fit_phase_shift_angle_radians,fit_pre_period_hours,pre_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.566829259281374,24.0,0.0,0.0,0.0,2.095561338379053,0.0,0.0,8.00445469332706
SYN_A001_1B-L1m2_V001__phase_shift_hours__S04,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V001,1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,phase_shift_hours,4,S4_post_period,fit_phase_shift_angle_radians,fit_post_period_hours,post_period,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,25.02649746058964,0.0,0.0,0.0,2.095561338379053,0.0,0.0,8.346811043998104
